"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:09:20.000000 UTC",-179.89455572,21.90335903,-72.22181272
"2024-12-14 20:09:21.000000 UTC",-179.89455583,21.90335898,-72.22196511
"2024-12-14 20:09:22.000000 UTC",-179.89455594,21.90335892,-72.22211751
"2024-12-14 20:09:23.000000 UTC",-179.89455605,21.90335887,-72.22226991
"2024-12-14 20:09:24.000000 UTC",-179.89455616,21.90335882,-72.22242231
"2024-12-14 20:09:25.000000 UTC",-179.89455627,21.90335877,-72.22257470
"2024-12-14 20:09:26.000000 UTC",-179.89455638,21.90335872,-72.22272710
"2024-12-14 20:09:27.000000 UTC",-179.89455650,21.90335867,-72.22287950
"2024-12-14 20:09:28.000000 UTC",-179.89455661,21.90335862,-72.22303190
"2024-12-14 20:09:29.000000 UTC",-179.89455672,21.90335857,-72.22318429
"2024-12-14 20:09:30.000000 UTC",-179.89455683,21.90335852,-72.22333669
"2024-12-14 20:09:31.000000 UTC",-179.89455694,21.90335847,-72.22348909
"2024-12-14 20:09:32.000000 UTC",-179.89455705,21.90335841,-72.22364149
"2024-12-14 20:09:33.000000 UTC",-179.89455716,21.90335836,-72.22379388
"2024-12-14 20:09:34.000000 UTC",-179.89455727,21.90335831,-72.22394628
"2024-12-14 20:09:35.000000 UTC",-179.89455738,21.90335826,-72.22409868
"2024-12-14 20:09:36.000000 UTC",-179.89455749,21.90335821,-72.22425108
"2024-12-14 20:09:37.000000 UTC",-179.89455760,21.90335816,-72.22440347
"2024-12-14 20:09:38.000000 UTC",-179.89455771,21.90335811,-72.22455587
"2024-12-14 20:09:39.000000 UTC",-179.89455782,21.90335806,-72.22470827
"2024-12-14 20:09:40.000000 UTC",-179.89455793,21.90335801,-72.22486067
"2024-12-14 20:09:41.000000 UTC",-179.89455804,21.90335796,-72.22501306
"2024-12-14 20:09:42.000000 UTC",-179.89455815,21.90335790,-72.22516546
"2024-12-14 20:09:43.000000 UTC",-179.89455826,21.90335785,-72.22531786
